stop_id,stop_name,stop_lat,stop_lon,stop_desc,zone_id,parent_station,wheelchair_boarding,platform_code
de:11000:900175513::4,Zossener Str./Kastanienallee (Berlin),52.543942,13.598604,Tramsteig Zossener Straße vor Kastanienallee,5656 Zossener Str./Kastanienallee (Berlin),de:11000:900175513,,
de:11000:900175514::3,Stendaler Str./Zossener Str. (Berlin),52.543551,13.603426,Tramsteig Stendaler Straße vor Tangermünder Straße,5656 Stendaler Str./Zossener Str. (Berlin),de:11000:900175514,,
de:11000:900175514::4,Stendaler Str./Zossener Str. (Berlin),52.543549,13.603371,Tramsteig Stendaler Straße hinter Zossener Straße,5656 Stendaler Str./Zossener Str. (Berlin),de:11000:900175514,,
de:11000:900175519::4,Nossener Str. (Berlin),52.533334,13.608796,Tramsteig Riesaer Straße hinter Mark-Twain-Straße,5656 Nossener Str. (Berlin),de:11000:900175519,,
de:11000:900175519::5,Nossener Str. (Berlin),52.532937,13.610545,Tramsteig Riesaer Straße hinter Nossener Straße,5656 Nossener Str. (Berlin),de:11000:900175519,,
de:11000:900175520::3,Jenaer Str. (Berlin),52.532111,13.614678,Tramsteig Riesaer Str. ht. Lichtenhainer Str.,5656 Jenaer Str. (Berlin),de:11000:900175520,,
de:11000:900175520::4,Jenaer Str. (Berlin),52.532078,13.614663,Tramsteig Riesaer Str. vor Jenaer Str.,5656 Jenaer Str. (Berlin),de:11000:900175520,,
de:11000:900176001:1:50,S Mahlsdorf Bhf (Berlin),52.512253,13.610598,S-Bahnsteig Gleis 1,5656 S Mahlsdorf Bhf (Berlin),de:11000:900176001,,1
de:11000:900176001:1:51,S Mahlsdorf Bhf (Berlin),52.512137,13.610641,S-Bahnsteig Gleis 2,5656 S Mahlsdorf Bhf (Berlin),de:11000:900176001,,2
de:11000:900176001:2:52,S Mahlsdorf Bhf (Berlin),52.512091,13.610667,S-Bahnsteig Gleis 3,5656 S Mahlsdorf Bhf (Berlin),de:11000:900176001,,3
de:11000:900176001:2:53,S Mahlsdorf Bhf (Berlin),52.511972,13.610720,S-Bahnsteig Gleis 4,5656 S Mahlsdorf Bhf (Berlin),de:11000:900176001,,4
de:11000:900180001:1:50,S Köpenick (Berlin),52.458653,13.581491,S-Bahnsteig Gleis 1,5656 S Köpenick (Berlin),de:11000:900180001,,1
de:11000:900180001:1:51,S Köpenick (Berlin),52.458514,13.581459,S-Bahnsteig Gleis 2,5656 S Köpenick (Berlin),de:11000:900180001,,2
de:11000:900180002:1:50,S Wuhlheide (Berlin),52.468668,13.554240,Bahnsteig Gleis 1,5656 S Wuhlheide (Berlin),de:11000:900180002,,1
de:11000:900180002:1:51,S Wuhlheide (Berlin),52.468594,13.554145,Bahnsteig Gleis 2,5656 S Wuhlheide (Berlin),de:11000:900180002,,2
de:11000:900180003:1:50,S Spindlersfeld (Berlin),52.447135,13.561301,S-Bahnsteig Gleis 1,5656 S Spindlersfeld (Berlin),de:11000:900180003,,1
de:11000:900181001::2,Wilhelminenhofstr./Edisonstr. (Berlin),52.463103,13.513861,Tramhalt Edisonstr. vor Wilhelminenhofstr. Pos. 1,5656 Wilhelminenhofstr./Edisonstr. (Berlin),,,
